"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","691","4",
"0400000US02","Alaska","1065","14",
"0400000US04","Arizona","891","4",
"0400000US05","Arkansas","649","4",
"0400000US06","California","1209","3",
"0400000US08","Colorado","915","5",
"0400000US09","Connecticut","1044","5",
"0400000US10","Delaware","985","10",
"0400000US11","District of Columbia","1200","13",
"0400000US12","Florida","987","2",
"0400000US13","Georgia","849","3",
"0400000US15","Hawaii","1354","14",
"0400000US16","Idaho","720","6",
"0400000US17","Illinois","877","3",
"0400000US18","Indiana","719","3",
"0400000US19","Iowa","655","4",
"0400000US20","Kansas","715","4",
"0400000US21","Kentucky","638","4",
"0400000US22","Louisiana","762","4",
"0400000US23","Maine","750","6",
"0400000US24","Maryland","1172","5",
"0400000US25","Massachusetts","1056","5",
"0400000US26","Michigan","755","3",
"0400000US27","Minnesota","802","4",
"0400000US28","Mississippi","688","5",
"0400000US29","Missouri","712","3",
"0400000US30","Montana","667","7",
"0400000US31","Nebraska","687","4",
"0400000US32","Nevada","1001","6",
"0400000US33","New Hampshire","972","7",
"0400000US34","New Jersey","1154","3",
"0400000US35","New Mexico","736","5",
"0400000US36","New York","1061","3",
"0400000US37","North Carolina","759","3",
"0400000US38","North Dakota","610","7",
"0400000US39","Ohio","710","3",
"0400000US40","Oklahoma","679","3",
"0400000US41","Oregon","854","4",
"0400000US42","Pennsylvania","794","3",
"0400000US44","Rhode Island","908","8",
"0400000US45","South Carolina","749","4",
"0400000US46","South Dakota","617","6",
"0400000US47","Tennessee","726","3",
"0400000US48","Texas","834","2",
"0400000US49","Utah","839","5",
"0400000US50","Vermont","864","10",
"0400000US51","Virginia","1060","5",
"0400000US53","Washington","951","4",
"0400000US54","West Virginia","594","5",
"0400000US55","Wisconsin","749","3",
"0400000US56","Wyoming","733","11",
"0400000US72","Puerto Rico","449","5",
