"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","747","3",
"0400000US02","Alaska","1200","13",
"0400000US04","Arizona","972","4",
"0400000US05","Arkansas","709","5",
"0400000US06","California","1358","3",
"0400000US08","Colorado","1125","5",
"0400000US09","Connecticut","1123","5",
"0400000US10","Delaware","1076","10",
"0400000US11","District of Columbia","1424","17",
"0400000US12","Florida","1077","3",
"0400000US13","Georgia","927","3",
"0400000US15","Hawaii","1507","18",
"0400000US16","Idaho","792","7",
"0400000US17","Illinois","952","3",
"0400000US18","Indiana","782","3",
"0400000US19","Iowa","740","4",
"0400000US20","Kansas","801","5",
"0400000US21","Kentucky","713","4",
"0400000US22","Louisiana","825","4",
"0400000US23","Maine","808","7",
"0400000US24","Maryland","1311","5",
"0400000US25","Massachusetts","1173","5",
"0400000US26","Michigan","824","3",
"0400000US27","Minnesota","906","4",
"0400000US28","Mississippi","740","5",
"0400000US29","Missouri","784","4",
"0400000US30","Montana","751","9",
"0400000US31","Nebraska","773","4",
"0400000US32","Nevada","1017","6",
"0400000US33","New Hampshire","1052","9",
"0400000US34","New Jersey","1249","4",
"0400000US35","New Mexico","809","6",
"0400000US36","New York","1194","3",
"0400000US37","North Carolina","844","3",
"0400000US38","North Dakota","775","9",
"0400000US39","Ohio","764","2",
"0400000US40","Oklahoma","766","3",
"0400000US41","Oregon","988","4",
"0400000US42","Pennsylvania","885","3",
"0400000US44","Rhode Island","957","6",
"0400000US45","South Carolina","836","4",
"0400000US46","South Dakota","696","7",
"0400000US47","Tennessee","808","4",
"0400000US48","Texas","952","2",
"0400000US49","Utah","948","6",
"0400000US50","Vermont","945","11",
"0400000US51","Virginia","1166","5",
"0400000US53","Washington","1120","4",
"0400000US54","West Virginia","681","6",
"0400000US55","Wisconsin","813","3",
"0400000US56","Wyoming","828","11",
"0400000US72","Puerto Rico","464","6",
