"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","705","3",
"0400000US02","Alaska","1098","13",
"0400000US04","Arizona","896","4",
"0400000US05","Arkansas","661","4",
"0400000US06","California","1224","2",
"0400000US08","Colorado","939","4",
"0400000US09","Connecticut","1056","5",
"0400000US10","Delaware","999","11",
"0400000US11","District of Columbia","1242","15",
"0400000US12","Florida","990","3",
"0400000US13","Georgia","860","3",
"0400000US15","Hawaii","1380","13",
"0400000US16","Idaho","728","6",
"0400000US17","Illinois","890","2",
"0400000US18","Indiana","730","3",
"0400000US19","Iowa","670","4",
"0400000US20","Kansas","732","4",
"0400000US21","Kentucky","655","3",
"0400000US22","Louisiana","773","4",
"0400000US23","Maine","764","7",
"0400000US24","Maryland","1196","4",
"0400000US25","Massachusetts","1069","5",
"0400000US26","Michigan","768","3",
"0400000US27","Minnesota","819","3",
"0400000US28","Mississippi","702","4",
"0400000US29","Missouri","727","3",
"0400000US30","Montana","682","8",
"0400000US31","Nebraska","706","5",
"0400000US32","Nevada","986","4",
"0400000US33","New Hampshire","987","8",
"0400000US34","New Jersey","1172","3",
"0400000US35","New Mexico","758","6",
"0400000US36","New York","1088","3",
"0400000US37","North Carolina","776","2",
"0400000US38","North Dakota","645","8",
"0400000US39","Ohio","718","2",
"0400000US40","Oklahoma","699","4",
"0400000US41","Oregon","875","4",
"0400000US42","Pennsylvania","813","3",
"0400000US44","Rhode Island","918","8",
"0400000US45","South Carolina","768","4",
"0400000US46","South Dakota","632","6",
"0400000US47","Tennessee","742","3",
"0400000US48","Texas","851","2",
"0400000US49","Utah","856","6",
"0400000US50","Vermont","875","8",
"0400000US51","Virginia","1087","4",
"0400000US53","Washington","973","4",
"0400000US54","West Virginia","611","6",
"0400000US55","Wisconsin","759","3",
"0400000US56","Wyoming","764","12",
"0400000US72","Puerto Rico","454","5",
