"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","715","4",
"0400000US02","Alaska","1131","11",
"0400000US04","Arizona","905","5",
"0400000US05","Arkansas","675","4",
"0400000US06","California","1243","2",
"0400000US08","Colorado","969","5",
"0400000US09","Connecticut","1069","5",
"0400000US10","Delaware","1012","12",
"0400000US11","District of Columbia","1302","16",
"0400000US12","Florida","998","3",
"0400000US13","Georgia","874","3",
"0400000US15","Hawaii","1417","13",
"0400000US16","Idaho","738","6",
"0400000US17","Illinois","903","2",
"0400000US18","Indiana","741","3",
"0400000US19","Iowa","689","4",
"0400000US20","Kansas","748","4",
"0400000US21","Kentucky","667","4",
"0400000US22","Louisiana","786","4",
"0400000US23","Maine","772","6",
"0400000US24","Maryland","1218","5",
"0400000US25","Massachusetts","1088","4",
"0400000US26","Michigan","780","3",
"0400000US27","Minnesota","835","3",
"0400000US28","Mississippi","714","4",
"0400000US29","Missouri","740","3",
"0400000US30","Montana","696","8",
"0400000US31","Nebraska","721","5",
"0400000US32","Nevada","980","4",
"0400000US33","New Hampshire","1001","9",
"0400000US34","New Jersey","1188","3",
"0400000US35","New Mexico","774","7",
"0400000US36","New York","1117","3",
"0400000US37","North Carolina","790","2",
"0400000US38","North Dakota","676","7",
"0400000US39","Ohio","729","3",
"0400000US40","Oklahoma","717","3",
"0400000US41","Oregon","894","4",
"0400000US42","Pennsylvania","832","2",
"0400000US44","Rhode Island","923","7",
"0400000US45","South Carolina","784","4",
"0400000US46","South Dakota","648","6",
"0400000US47","Tennessee","757","3",
"0400000US48","Texas","870","3",
"0400000US49","Utah","875","5",
"0400000US50","Vermont","889","9",
"0400000US51","Virginia","1108","5",
"0400000US53","Washington","995","4",
"0400000US54","West Virginia","630","5",
"0400000US55","Wisconsin","772","3",
"0400000US56","Wyoming","778","13",
"0400000US72","Puerto Rico","462","4",
