"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","772","4",
"0400000US02","Alaska","1231","13",
"0400000US04","Arizona","1009","4",
"0400000US05","Arkansas","729","4",
"0400000US06","California","1429","2",
"0400000US08","Colorado","1196","5",
"0400000US09","Connecticut","1156","5",
"0400000US10","Delaware","1110","9",
"0400000US11","District of Columbia","1487","16",
"0400000US12","Florida","1128","3",
"0400000US13","Georgia","968","3",
"0400000US15","Hawaii","1566","14",
"0400000US16","Idaho","825","6",
"0400000US17","Illinois","984","3",
"0400000US18","Indiana","807","4",
"0400000US19","Iowa","766","5",
"0400000US20","Kansas","831","5",
"0400000US21","Kentucky","741","4",
"0400000US22","Louisiana","850","4",
"0400000US23","Maine","831","8",
"0400000US24","Maryland","1357","4",
"0400000US25","Massachusetts","1225","6",
"0400000US26","Michigan","850","2",
"0400000US27","Minnesota","944","4",
"0400000US28","Mississippi","762","5",
"0400000US29","Missouri","809","4",
"0400000US30","Montana","783","8",
"0400000US31","Nebraska","805","5",
"0400000US32","Nevada","1060","5",
"0400000US33","New Hampshire","1077","8",
"0400000US34","New Jersey","1295","4",
"0400000US35","New Mexico","828","6",
"0400000US36","New York","1240","3",
"0400000US37","North Carolina","877","3",
"0400000US38","North Dakota","806","7",
"0400000US39","Ohio","788","2",
"0400000US40","Oklahoma","793","3",
"0400000US41","Oregon","1050","5",
"0400000US42","Pennsylvania","915","3",
"0400000US44","Rhode Island","981","9",
"0400000US45","South Carolina","868","5",
"0400000US46","South Dakota","722","9",
"0400000US47","Tennessee","841","3",
"0400000US48","Texas","998","2",
"0400000US49","Utah","988","6",
"0400000US50","Vermont","972","12",
"0400000US51","Virginia","1202","5",
"0400000US53","Washington","1194","5",
"0400000US54","West Virginia","711","6",
"0400000US55","Wisconsin","837","3",
"0400000US56","Wyoming","843","15",
"0400000US72","Puerto Rico","474","4",
