"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","728","4",
"0400000US02","Alaska","1173","11",
"0400000US04","Arizona","937","4",
"0400000US05","Arkansas","689","4",
"0400000US06","California","1297","2",
"0400000US08","Colorado","1057","4",
"0400000US09","Connecticut","1094","5",
"0400000US10","Delaware","1039","10",
"0400000US11","District of Columbia","1362","15",
"0400000US12","Florida","1032","3",
"0400000US13","Georgia","897","3",
"0400000US15","Hawaii","1456","14",
"0400000US16","Idaho","764","8",
"0400000US17","Illinois","925","3",
"0400000US18","Indiana","758","3",
"0400000US19","Iowa","715","4",
"0400000US20","Kansas","775","4",
"0400000US21","Kentucky","690","3",
"0400000US22","Louisiana","800","4",
"0400000US23","Maine","790","6",
"0400000US24","Maryland","1264","5",
"0400000US25","Massachusetts","1129","4",
"0400000US26","Michigan","799","3",
"0400000US27","Minnesota","873","4",
"0400000US28","Mississippi","723","5",
"0400000US29","Missouri","759","4",
"0400000US30","Montana","732","6",
"0400000US31","Nebraska","745","5",
"0400000US32","Nevada","984","4",
"0400000US33","New Hampshire","1021","10",
"0400000US34","New Jersey","1213","4",
"0400000US35","New Mexico","792","6",
"0400000US36","New York","1159","3",
"0400000US37","North Carolina","816","3",
"0400000US38","North Dakota","736","7",
"0400000US39","Ohio","743","2",
"0400000US40","Oklahoma","742","3",
"0400000US41","Oregon","941","4",
"0400000US42","Pennsylvania","859","2",
"0400000US44","Rhode Island","938","7",
"0400000US45","South Carolina","811","4",
"0400000US46","South Dakota","676","7",
"0400000US47","Tennessee","782","3",
"0400000US48","Texas","911","2",
"0400000US49","Utah","912","6",
"0400000US50","Vermont","913","12",
"0400000US51","Virginia","1135","4",
"0400000US53","Washington","1056","4",
"0400000US54","West Virginia","658","6",
"0400000US55","Wisconsin","789","2",
"0400000US56","Wyoming","802","12",
"0400000US72","Puerto Rico","460","5",
