"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","717","3",
"0400000US02","Alaska","1146","10",
"0400000US04","Arizona","913","5",
"0400000US05","Arkansas","677","4",
"0400000US06","California","1255","2",
"0400000US08","Colorado","1002","5",
"0400000US09","Connecticut","1075","6",
"0400000US10","Delaware","1018","11",
"0400000US11","District of Columbia","1327","17",
"0400000US12","Florida","1002","3",
"0400000US13","Georgia","879","3",
"0400000US15","Hawaii","1438","16",
"0400000US16","Idaho","743","6",
"0400000US17","Illinois","907","3",
"0400000US18","Indiana","745","3",
"0400000US19","Iowa","697","4",
"0400000US20","Kansas","757","5",
"0400000US21","Kentucky","675","3",
"0400000US22","Louisiana","788","4",
"0400000US23","Maine","777","6",
"0400000US24","Maryland","1230","5",
"0400000US25","Massachusetts","1102","4",
"0400000US26","Michigan","783","3",
"0400000US27","Minnesota","848","4",
"0400000US28","Mississippi","717","6",
"0400000US29","Missouri","746","3",
"0400000US30","Montana","711","6",
"0400000US31","Nebraska","726","4",
"0400000US32","Nevada","973","5",
"0400000US33","New Hampshire","1000","9",
"0400000US34","New Jersey","1192","3",
"0400000US35","New Mexico","777","6",
"0400000US36","New York","1132","3",
"0400000US37","North Carolina","797","2",
"0400000US38","North Dakota","709","8",
"0400000US39","Ohio","730","3",
"0400000US40","Oklahoma","727","3",
"0400000US41","Oregon","907","4",
"0400000US42","Pennsylvania","840","3",
"0400000US44","Rhode Island","925","7",
"0400000US45","South Carolina","790","4",
"0400000US46","South Dakota","655","7",
"0400000US47","Tennessee","764","3",
"0400000US48","Texas","882","2",
"0400000US49","Utah","887","6",
"0400000US50","Vermont","895","9",
"0400000US51","Virginia","1116","4",
"0400000US53","Washington","1014","5",
"0400000US54","West Virginia","643","6",
"0400000US55","Wisconsin","776","3",
"0400000US56","Wyoming","789","11",
"0400000US72","Puerto Rico","456","4",
