"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","925","6",
"0400000US02","Alaska","1345","17",
"0400000US04","Arizona","1308","7",
"0400000US05","Arkansas","868","5",
"0400000US06","California","1856","4",
"0400000US08","Colorado","1594","8",
"0400000US09","Connecticut","1374","9",
"0400000US10","Delaware","1286","17",
"0400000US11","District of Columbia","1817","19",
"0400000US12","Florida","1444","4",
"0400000US13","Georgia","1221","5",
"0400000US15","Hawaii","1868","19",
"0400000US16","Idaho","1061","11",
"0400000US17","Illinois","1179","4",
"0400000US18","Indiana","967","4",
"0400000US19","Iowa","914","6",
"0400000US20","Kansas","986","7",
"0400000US21","Kentucky","902","6",
"0400000US22","Louisiana","996","6",
"0400000US23","Maine","1009","15",
"0400000US24","Maryland","1598","7",
"0400000US25","Massachusetts","1588","9",
"0400000US26","Michigan","1037","4",
"0400000US27","Minnesota","1178","5",
"0400000US28","Mississippi","896","7",
"0400000US29","Missouri","957","4",
"0400000US30","Montana","974","13",
"0400000US31","Nebraska","987","7",
"0400000US32","Nevada","1382","7",
"0400000US33","New Hampshire","1336","15",
"0400000US34","New Jersey","1577","6",
"0400000US35","New Mexico","966","10",
"0400000US36","New York","1507","6",
"0400000US37","North Carolina","1093","4",
"0400000US38","North Dakota","912","13",
"0400000US39","Ohio","945","3",
"0400000US40","Oklahoma","934","5",
"0400000US41","Oregon","1373","7",
"0400000US42","Pennsylvania","1110","5",
"0400000US44","Rhode Island","1195","13",
"0400000US45","South Carolina","1065","6",
"0400000US46","South Dakota","878","8",
"0400000US47","Tennessee","1047","7",
"0400000US48","Texas","1251","4",
"0400000US49","Utah","1302","10",
"0400000US50","Vermont","1149","17",
"0400000US51","Virginia","1440","7",
"0400000US53","Washington","1592","8",
"0400000US54","West Virginia","831","9",
"0400000US55","Wisconsin","992","4",
"0400000US56","Wyoming","933","15",
"0400000US72","Puerto Rico","545","5",
