"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","852","5",
"0400000US02","Alaska","1279","21",
"0400000US04","Arizona","1172","5",
"0400000US05","Arkansas","803","7",
"0400000US06","California","1698","3",
"0400000US08","Colorado","1437","8",
"0400000US09","Connecticut","1260","9",
"0400000US10","Delaware","1199","11",
"0400000US11","District of Columbia","1681","18",
"0400000US12","Florida","1301","4",
"0400000US13","Georgia","1110","4",
"0400000US15","Hawaii","1755","16",
"0400000US16","Idaho","952","9",
"0400000US17","Illinois","1097","4",
"0400000US18","Indiana","891","4",
"0400000US19","Iowa","845","4",
"0400000US20","Kansas","912","5",
"0400000US21","Kentucky","826","5",
"0400000US22","Louisiana","923","5",
"0400000US23","Maine","927","9",
"0400000US24","Maryland","1485","7",
"0400000US25","Massachusetts","1429","9",
"0400000US26","Michigan","946","4",
"0400000US27","Minnesota","1081","5",
"0400000US28","Mississippi","830","6",
"0400000US29","Missouri","886","4",
"0400000US30","Montana","886","9",
"0400000US31","Nebraska","909","6",
"0400000US32","Nevada","1238","7",
"0400000US33","New Hampshire","1212","12",
"0400000US34","New Jersey","1436","5",
"0400000US35","New Mexico","897","9",
"0400000US36","New York","1390","4",
"0400000US37","North Carolina","988","4",
"0400000US38","North Dakota","853","8",
"0400000US39","Ohio","870","3",
"0400000US40","Oklahoma","862","3",
"0400000US41","Oregon","1250","7",
"0400000US42","Pennsylvania","1013","5",
"0400000US44","Rhode Island","1097","12",
"0400000US45","South Carolina","970","6",
"0400000US46","South Dakota","809","10",
"0400000US47","Tennessee","951","5",
"0400000US48","Texas","1146","3",
"0400000US49","Utah","1171","8",
"0400000US50","Vermont","1070","18",
"0400000US51","Virginia","1326","5",
"0400000US53","Washington","1439","6",
"0400000US54","West Virginia","770","8",
"0400000US55","Wisconsin","916","3",
"0400000US56","Wyoming","878","14",
"0400000US72","Puerto Rico","505","6",
