"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","811","5",
"0400000US02","Alaska","1240","16",
"0400000US04","Arizona","1097","5",
"0400000US05","Arkansas","760","5",
"0400000US06","California","1586","4",
"0400000US08","Colorado","1335","6",
"0400000US09","Connecticut","1201","6",
"0400000US10","Delaware","1150","11",
"0400000US11","District of Columbia","1607","24",
"0400000US12","Florida","1218","3",
"0400000US13","Georgia","1042","4",
"0400000US15","Hawaii","1651","16",
"0400000US16","Idaho","887","9",
"0400000US17","Illinois","1038","4",
"0400000US18","Indiana","844","3",
"0400000US19","Iowa","806","6",
"0400000US20","Kansas","863","6",
"0400000US21","Kentucky","783","4",
"0400000US22","Louisiana","876","5",
"0400000US23","Maine","873","7",
"0400000US24","Maryland","1415","6",
"0400000US25","Massachusetts","1336","7",
"0400000US26","Michigan","892","4",
"0400000US27","Minnesota","1010","7",
"0400000US28","Mississippi","789","7",
"0400000US29","Missouri","843","3",
"0400000US30","Montana","836","13",
"0400000US31","Nebraska","857","5",
"0400000US32","Nevada","1159","5",
"0400000US33","New Hampshire","1145","10",
"0400000US34","New Jersey","1368","5",
"0400000US35","New Mexico","857","9",
"0400000US36","New York","1315","5",
"0400000US37","North Carolina","932","4",
"0400000US38","North Dakota","828","9",
"0400000US39","Ohio","825","3",
"0400000US40","Oklahoma","818","4",
"0400000US41","Oregon","1173","5",
"0400000US42","Pennsylvania","958","3",
"0400000US44","Rhode Island","1031","12",
"0400000US45","South Carolina","918","6",
"0400000US46","South Dakota","761","11",
"0400000US47","Tennessee","897","4",
"0400000US48","Texas","1082","3",
"0400000US49","Utah","1090","7",
"0400000US50","Vermont","999","15",
"0400000US51","Virginia","1257","7",
"0400000US53","Washington","1337","6",
"0400000US54","West Virginia","732","8",
"0400000US55","Wisconsin","872","4",
"0400000US56","Wyoming","853","12",
"0400000US72","Puerto Rico","486","6",
