"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","982","14",
"0400000US02","Alaska","1373","37",
"0400000US04","Arizona","1608","16",
"0400000US05","Arkansas","933","11",
"0400000US06","California","1992","8",
"0400000US08","Colorado","1771","16",
"0400000US09","Connecticut","1463","17",
"0400000US10","Delaware","1358","38",
"0400000US11","District of Columbia","1904","48",
"0400000US12","Florida","1719","10",
"0400000US13","Georgia","1400","14",
"0400000US15","Hawaii","1940","41",
"0400000US16","Idaho","1256","28",
"0400000US17","Illinois","1238","12",
"0400000US18","Indiana","1044","12",
"0400000US19","Iowa","949","12",
"0400000US20","Kansas","1036","13",
"0400000US21","Kentucky","929","12",
"0400000US22","Louisiana","1020","15",
"0400000US23","Maine","1189","33",
"0400000US24","Maryland","1651","20",
"0400000US25","Massachusetts","1757","18",
"0400000US26","Michigan","1101","9",
"0400000US27","Minnesota","1264","19",
"0400000US28","Mississippi","898","16",
"0400000US29","Missouri","1019","12",
"0400000US30","Montana","1083","30",
"0400000US31","Nebraska","1042","19",
"0400000US32","Nevada","1622","19",
"0400000US33","New Hampshire","1517","41",
"0400000US34","New Jersey","1667","13",
"0400000US35","New Mexico","1084","19",
"0400000US36","New York","1561","12",
"0400000US37","North Carolina","1245","13",
"0400000US38","North Dakota","916","25",
"0400000US39","Ohio","1014","10",
"0400000US40","Oklahoma","1020","11",
"0400000US41","Oregon","1481","17",
"0400000US42","Pennsylvania","1197","11",
"0400000US44","Rhode Island","1365","34",
"0400000US45","South Carolina","1170","16",
"0400000US46","South Dakota","921","23",
"0400000US47","Tennessee","1214","15",
"0400000US48","Texas","1413","7",
"0400000US49","Utah","1551","25",
"0400000US50","Vermont","1202","34",
"0400000US51","Virginia","1567","17",
"0400000US53","Washington","1731","15",
"0400000US54","West Virginia","850","16",
"0400000US55","Wisconsin","1071","10",
"0400000US56","Wyoming","1000","42",
"0400000US72","Puerto Rico","557","15",
