"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","674","4",
"0400000US02","Alaska","1017","17",
"0400000US04","Arizona","881","4",
"0400000US05","Arkansas","637","4",
"0400000US06","California","1185","3",
"0400000US08","Colorado","883","4",
"0400000US09","Connecticut","1020","7",
"0400000US10","Delaware","975","10",
"0400000US11","District of Columbia","1135","11",
"0400000US12","Florida","981","2",
"0400000US13","Georgia","835","3",
"0400000US15","Hawaii","1313","13",
"0400000US16","Idaho","709","6",
"0400000US17","Illinois","860","3",
"0400000US18","Indiana","704","3",
"0400000US19","Iowa","637","3",
"0400000US20","Kansas","699","5",
"0400000US21","Kentucky","623","3",
"0400000US22","Louisiana","745","4",
"0400000US23","Maine","736","7",
"0400000US24","Maryland","1139","4",
"0400000US25","Massachusetts","1037","5",
"0400000US26","Michigan","742","3",
"0400000US27","Minnesota","783","4",
"0400000US28","Mississippi","680","5",
"0400000US29","Missouri","693","3",
"0400000US30","Montana","649","7",
"0400000US31","Nebraska","672","5",
"0400000US32","Nevada","1011","8",
"0400000US33","New Hampshire","956","7",
"0400000US34","New Jersey","1131","4",
"0400000US35","New Mexico","713","5",
"0400000US36","New York","1025","3",
"0400000US37","North Carolina","744","3",
"0400000US38","North Dakota","584","7",
"0400000US39","Ohio","697","2",
"0400000US40","Oklahoma","659","4",
"0400000US41","Oregon","830","4",
"0400000US42","Pennsylvania","770","2",
"0400000US44","Rhode Island","901","9",
"0400000US45","South Carolina","728","3",
"0400000US46","South Dakota","595","8",
"0400000US47","Tennessee","707","4",
"0400000US48","Texas","814","2",
"0400000US49","Utah","813","6",
"0400000US50","Vermont","843","10",
"0400000US51","Virginia","1024","6",
"0400000US53","Washington","923","4",
"0400000US54","West Virginia","574","5",
"0400000US55","Wisconsin","735","3",
"0400000US56","Wyoming","708","12",
"0400000US72","Puerto Rico","438","4",
